word,pos
had,VERB
no,DET
apparent,ADJ
associated,ADJ
conditions,NOUN
which,ADJ
might,VERB
have,VERB
predisposed,VERB
him,PRON
to,ADP
the,DET
development,NOUN
of,ADP
bradyarrhythmias,NOUN
;,PUNCT
and,CCONJ
",",PUNCT
thus,ADV
",",PUNCT
this,DET
probably,ADV
represented,VERB
a,DET
true,ADJ
idiosyncrasy,NOUN
to,ADP
lidocaine,NOUN
.,PUNCT
Suxamethonium,ADJ
infusion,NOUN
rate,NOUN
and,CCONJ
observed,VERB
fasciculations,NOUN
.,PUNCT
Suxamethonium,PROPN
chloride,NOUN
(,PUNCT
Sch,PROPN
),PUNCT
was,VERB
administered,VERB
i.v,NOUN
.,PUNCT
to,ADP
36,NUM
adult,NOUN
males,NOUN
at,ADP
six,NUM
rates,NOUN
:,PUNCT
The,DET
infusion,NOUN
was,VERB
discontinued,VERB
either,CCONJ
when,ADV
there,ADV
was,VERB
no,DET
muscular,ADJ
response,NOUN
to,ADP
tetanic,ADJ
stimulation,NOUN
of,ADP
the,DET
ulnar,ADJ
nerve,NOUN
or,CCONJ
when,ADV
Sch,PROPN
120,NUM
mg,NUM
was,VERB
exceeded,VERB
.,PUNCT
Fasciculations,NOUN
in,ADP
six,NUM
areas,NOUN
of,ADP
the,DET
body,NOUN
were,VERB
scored,VERB
from,ADP
0,NUM
to,ADP
3,NUM
and,CCONJ
summated,VERB
as,ADP
a,DET
total,ADJ
fasciculation,NOUN
score,NOUN
.,PUNCT
The,DET
times,NOUN
to,ADP
first,ADJ
fasciculation,NOUN
",",PUNCT
twitch,NOUN
suppression,NOUN
and,CCONJ
tetanus,NOUN
suppression,NOUN
were,VERB
inversely,ADV
related,VERB
to,ADP
the,DET
infusion,NOUN
rates,NOUN
.,PUNCT
Fasciculations,NOUN
in,ADP
the,DET
six,NUM
areas,NOUN
and,CCONJ
the,DET
total,ADJ
fasciculation,NOUN
score,NOUN
were,VERB
related,VERB
directly,ADV
to,ADP
the,DET
rate,NOUN
of,ADP
infusion,NOUN
.,PUNCT
Total,ADJ
fasciculation,NOUN
scores,NOUN
in,ADP
the,DET
30-mg,PROPN
bolus,NOUN
group,NOUN
and,CCONJ
the,DET
5-mg,NUM
s-1,NOUN
and,CCONJ
20-mg,NUM
s-1,ADJ
infusion,NOUN
groups,NOUN
were,VERB
not,ADV
significantly,ADV
different,ADJ
.,PUNCT
Galanthamine,PROPN
hydrobromide,NOUN
",",PUNCT
a,DET
longer,ADV
acting,VERB
anticholinesterase,ADP
drug,NOUN
",",PUNCT
in,ADP
the,DET
treatment,NOUN
of,ADP
the,DET
central,ADJ
effects,NOUN
of,ADP
scopolamine,NOUN
(,PUNCT
Hyoscine,PROPN
),PUNCT
.,PUNCT
Galanthamine,PROPN
hydrobromide,NOUN
",",PUNCT
an,DET
anticholinesterase,NOUN
drug,NOUN
capable,ADJ
of,ADP
penetrating,VERB
the,DET
blood,NOUN
-,PUNCT
brain,NOUN
barrier,NOUN
",",PUNCT
was,VERB
used,VERB
in,ADP
a,DET
patient,ADJ
demonstrating,VERB
central,ADJ
effects,NOUN
of,ADP
scopolamine,NOUN
(,PUNCT
hyoscine,NOUN
),PUNCT
overdosage,NOUN
.,PUNCT
It,PRON
is,VERB
longer,ADV
acting,VERB
than,ADP
physostigmine,NOUN
and,CCONJ
is,VERB
used,VERB
in,ADP
anaesthesia,NOUN
to,PART
reverse,VERB
the,DET
non,ADJ
-,PUNCT
depolarizing,VERB
neuromuscular,ADJ
block,NOUN
.,PUNCT
However,ADV
",",PUNCT
studies,NOUN
into,ADP
the,DET
dose,NOUN
necessary,ADJ
to,ADP
combating,VERB
scopolamine,NOUN
intoxication,NOUN
are,VERB
indicated,VERB
.,PUNCT
Effects,NOUN
of,ADP
uninephrectomy,NOUN
and,CCONJ
high,ADJ
protein,NOUN
feeding,VERB
on,ADP
lithium,NOUN
-,PUNCT
induced,VERB
chronic,ADJ
renal,ADJ
failure,NOUN
in,ADP
rats,NOUN
.,PUNCT
Rats,NOUN
with,ADP
lithium,NOUN
-,PUNCT
induced,VERB
nephropathy,NOUN
were,VERB
subjected,VERB
to,ADP
high,ADJ
protein,NOUN
(,PUNCT
HP,PROPN
),PUNCT
feeding,NOUN
",",PUNCT
uninephrectomy,NOUN
(,PUNCT
NX,PROPN
),PUNCT
or,CCONJ
a,DET
combination,NOUN
of,ADP
these,DET
",",PUNCT
in,ADP
an,DET
attempt,NOUN
to,PART
induce,VERB
glomerular,ADJ
hyperfiltration,NOUN
and,CCONJ
further,ADJ
progression,NOUN
of,ADP
renal,ADJ
failure,NOUN
.,PUNCT
Newborn,ADJ
female,ADJ
Wistar,PROPN
rats,NOUN
were,VERB
fed,VERB
a,DET
lithium,NOUN
-,PUNCT
containing,VERB
diet,NOUN
(,PUNCT
50,NUM
mmol,NOUN
/,SYM
kg,NOUN
),PUNCT
for,ADP
8,NUM
weeks,NOUN
and,CCONJ
then,ADV
randomized,ADJ
to,ADP
normal,ADJ
diet,NOUN
",",PUNCT
HP,PROPN
diet,NOUN
(,PUNCT
40,NUM
vs.,X
19%,NUM
),PUNCT
",",PUNCT
NX,NOUN
or,CCONJ
HP+NX,NOUN
for,ADP
another,DET
8,NUM
weeks,NOUN
.,PUNCT
Corresponding,VERB
non,ADV
-,PUNCT
lithium,NOUN
pretreated,ADJ
groups,NOUN
were,VERB
generated,VERB
.,PUNCT
When,ADV
comparing,VERB
all,DET
lithium,NOUN
treated,VERB
versus,ADP
non,ADJ
-,PUNCT
lithium,NOUN
-,PUNCT
treated,VERB
groups,NOUN
",",PUNCT
lithium,NOUN
caused,VERB
a,DET
reduction,NOUN
in,ADP
glomerular,ADJ
filtration,NOUN
rate,NOUN
(,PUNCT
GFR,PROPN
),PUNCT
without,ADP
significant,ADJ
changes,NOUN
in,ADP
effective,ADJ
renal,ADJ
plasma,NOUN
flow,NOUN
(,PUNCT
as,ADP
determined,VERB
by,ADP
a,DET
marker,NOUN
secreted,VERB
into,ADP
the,DET
proximal,ADJ
tubules,NOUN
),PUNCT
or,CCONJ
lithium,NOUN
clearance,NOUN
.,PUNCT
Consequently,ADV
",",PUNCT
lithium,NOUN
pretreatment,NOUN
caused,VERB
a,DET
fall,NOUN
in,ADP
filtration,NOUN
fraction,NOUN
and,CCONJ
an,DET
increase,NOUN
in,ADP
fractional,ADJ
Li,PROPN
excretion,NOUN
.,PUNCT
Lithium,NOUN
also,ADV
caused,VERB
proteinuria,NOUN
and,CCONJ
systolic,ADJ
hypertension,NOUN
in,ADP
absence,NOUN
of,ADP
glomerulosclerosis,NOUN
.,PUNCT
HP,PROPN
failed,VERB
to,PART
accentuante,VERB
progression,NOUN
of,ADP
renal,ADJ
failure,NOUN
and,CCONJ
in,ADP
fact,NOUN
tended,VERB
to,PART
increase,VERB
GFR,PROPN
and,CCONJ
decrease,VERB
plasma,NOUN
creatinine,NOUN
levels,NOUN
in,ADP
lithium,NOUN
pretreated,VERB
rats,NOUN
.,PUNCT
NX+HP,PROPN
caused,VERB
a,DET
further,ADJ
rise,NOUN
in,ADP
blood,NOUN
pressure,NOUN
in,ADP
Li,PROPN
-,PUNCT
pretreated,VERB
rats,NOUN
.,PUNCT
The,DET
results,NOUN
indicate,VERB
that,ADP
Li,PROPN
-,PUNCT
induced,VERB
nephropathy,NOUN
",",PUNCT
even,ADV
when,ADV
the,DET
GFR,PROPN
is,VERB
only,ADV
modestly,ADV
reduced,VERB
",",PUNCT
is,VERB
associated,VERB
with,ADP
proteinuria,NOUN
and,CCONJ
arterial,ADJ
systolic,ADJ
hypertension,NOUN
.,PUNCT
In,ADP
this,DET
model,NOUN
of,ADP
chronic,ADJ
renal,ADJ
failure,NOUN
the,DET
decline,NOUN
in,ADP
GFR,PROPN
is,VERB
not,ADV
accompanied,VERB
by,ADP
a,DET
corresponding,VERB
fall,NOUN
in,ADP
effective,ADJ
renal,ADJ
plasma,NOUN
flow,NOUN
",",PUNCT
which,ADJ
may,VERB
be,VERB
the,DET
functional,ADJ
expression,NOUN
of,ADP
the,DET
formation,NOUN
of,ADP
nonfiltrating,VERB
atubular,ADJ
glomeruli,NOUN
.,PUNCT
Treatment,NOUN
of,ADP
Crohn,PROPN
's,PART
disease,NOUN
with,ADP
fusidic,ADJ
acid,NOUN
:,PUNCT
an,DET
antibiotic,NOUN
with,ADP
immunosuppressive,ADJ
properties,NOUN
similar,ADJ
to,ADP
cyclosporin,VERB
.,PUNCT
Fusidic,PROPN
acid,NOUN
is,VERB
an,DET
antibiotic,NOUN
with,ADP
T,PROPN
-,PUNCT
cell,PROPN
specific,ADJ
immunosuppressive,ADJ
effects,NOUN
similar,ADJ
to,ADP
those,DET
of,ADP
cyclosporin,NOUN
.,PUNCT
Because,ADP
of,ADP
the,DET
need,NOUN
for,ADP
the,DET
development,NOUN
of,ADP
new,ADJ
treatments,NOUN
for,ADP
Crohn,PROPN
's,PART
disease,NOUN
",",PUNCT
a,DET
pilot,NOUN
study,NOUN
was,VERB
undertaken,VERB
to,PART
estimate,VERB
the,DET
pharmacodynamics,NOUN
and,CCONJ
tolerability,NOUN
of,ADP
fusidic,ADJ
acid,NOUN
treatment,NOUN
in,ADP
chronic,ADJ
active,ADJ
",",PUNCT
therapy,NOUN
-,PUNCT
resistant,ADJ
patients,NOUN
.,PUNCT
Eight,NUM
Crohn,PROPN
's,PART
disease,NOUN
patients,NOUN
were,VERB
included,VERB
.,PUNCT
Fusidic,ADJ
acid,NOUN
was,VERB
administered,VERB
orally,ADV
in,ADP
a,DET
dose,NOUN
of,ADP
500,NUM
mg,NUM
t.d.s,NUM
.,PUNCT
Five,NUM
of,ADP
8,NUM
patients,NOUN
(,PUNCT
63%,NUM
),PUNCT
improved,VERB
during,ADP
fusidic,ADJ
acid,ADJ
treatment,NOUN
:,PUNCT
3,NUM
at,ADP
two,NUM
weeks,NOUN
and,CCONJ
2,NUM
after,ADP
four,NUM
weeks,NOUN
.,PUNCT
There,ADV
were,VERB
no,DET
serious,ADJ
clinical,ADJ
side,NOUN
effects,NOUN
",",PUNCT
but,CCONJ
dose,NOUN
reduction,NOUN
was,VERB
required,VERB
in,ADP
two,NUM
patients,NOUN
because,ADP
of,ADP
nausea,NOUN
.,PUNCT
The,DET
results,NOUN
of,ADP
this,DET
pilot,NOUN
study,NOUN
suggest,VERB
that,ADP
fusidic,ADJ
acid,NOUN
may,VERB
be,VERB
of,ADP
benefit,NOUN
in,ADP
selected,VERB
chronic,ADJ
active,ADJ
Crohn,PROPN
's,PART
disease,NOUN
patients,NOUN
in,ADP
whom,NOUN
conventional,ADJ
treatment,NOUN
is,VERB
ineffective,ADJ
.,PUNCT
Because,ADP
there,ADV
seems,VERB
to,PART
exist,VERB
a,DET
scientific,ADJ
rationale,NOUN
for,ADP
the,DET
use,NOUN
of,ADP
fusidic,ADJ
acid,NOUN
at,ADP
the,DET
cytokine,NOUN
level,NOUN
in,ADP
inflammatory,ADJ
bowel,NOUN
disease,NOUN
",",PUNCT
we,PRON
suggest,VERB
that,ADP
the,DET
role,NOUN
of,ADP
this,DET
treatment,NOUN
should,VERB
be,VERB
further,ADV
investigated,VERB
.,PUNCT
Electrocardiographic,ADJ
evidence,NOUN
of,ADP
myocardial,ADJ
injury,NOUN
in,ADP
psychiatrically,ADV
hospitalized,VERB
cocaine,NOUN
abusers,NOUN
.,PUNCT
The,DET
electrocardiograms,NOUN
(,PUNCT
ECG,PROPN
),PUNCT
of,ADP
99,NUM
cocaine,NOUN
-,PUNCT
abusing,VERB
patients,NOUN
were,VERB
compared,VERB
with,ADP
the,DET
ECGs,NOUN
of,ADP
50,NUM
schizophrenic,ADJ
controls,NOUN
.,PUNCT
Eleven,NUM
of,ADP
the,DET
cocaine,NOUN
abusers,NOUN
and,CCONJ
none,NOUN
of,ADP
the,DET
controls,NOUN
had,VERB
ECG,PROPN
evidence,NOUN
of,ADP
significant,ADJ
myocardial,ADJ
injury,NOUN
defined,VERB
as,ADP
myocardial,ADJ
infarction,NOUN
",",PUNCT
ischemia,NOUN
",",PUNCT
and,CCONJ
bundle,ADJ
branch,NOUN
block,NOUN
.,PUNCT
Sulpiride,ADV
-,PUNCT
induced,VERB
tardive,ADJ
dystonia,NOUN
.,PUNCT
Sulpiride,PROPN
is,VERB
a,DET
selective,ADJ
D2-receptor,NOUN
antagonist,NOUN
with,ADP
antipsychotic,ADJ
and,CCONJ
antidepressant,ADJ
properties,NOUN
.,PUNCT
Although,ADP
initially,ADV
thought,VERB
to,PART
be,VERB
free,ADJ
of,ADP
extrapyramidal,ADJ
side,NOUN
effects,NOUN
",",PUNCT
sulpiride,ADV
-,PUNCT
induced,VERB
tardive,ADJ
dyskinesia,NOUN
and,CCONJ
parkinsonism,NOUN
have,VERB
been,VERB
reported,VERB
occasionally,ADV
.,PUNCT
We,PRON
studied,VERB
a,DET
37-year,NUM
-,PUNCT
old,ADJ
man,NOUN
who,NOUN
developed,VERB
persistent,ADJ
segmental,ADJ
dystonia,NOUN
within,ADP
2,NUM
months,NOUN
after,ADP
starting,VERB
sulpiride,NOUN
therapy,NOUN
.,PUNCT
We,PRON
could,VERB
not,ADV
find,VERB
any,DET
previous,ADJ
reports,NOUN
of,ADP
sulpiride,NOUN
-,PUNCT
induced,VERB
tardive,ADJ
dystonia,NOUN
.,PUNCT
Ocular,PROPN
and,CCONJ
auditory,ADJ
toxicity,NOUN
in,ADP
hemodialyzed,ADJ
patients,NOUN
receiving,VERB
desferrioxamine,NOUN
.,PUNCT
During,ADP
an,DET
18-month,ADJ
period,NOUN
of,ADP
study,NOUN
41,NUM
hemodialyzed,VERB
patients,NOUN
receiving,VERB
desferrioxamine,NOUN
(,PUNCT
10,NUM
-,SYM
40,NUM
mg,NUM
/,SYM
kg,NOUN
BW/3,ADP
times,NOUN
weekly,ADV
),PUNCT
for,ADP
the,DET
first,ADJ
time,NOUN
were,VERB
monitored,VERB
for,ADP
detection,NOUN
of,ADP
audiovisual,ADJ
toxicity,NOUN
.,PUNCT
6,NUM
patients,NOUN
presented,VERB
clinical,ADJ
symptoms,NOUN
of,ADP
visual,ADJ
or,CCONJ
auditory,ADJ
toxicity,NOUN
.,PUNCT
Visual,ADJ
toxicity,NOUN
was,VERB
of,ADP
retinal,ADJ
origin,NOUN
and,CCONJ
was,VERB
characterized,VERB
by,ADP
a,DET
tritan,ADJ
-,PUNCT
type,NOUN
dyschromatopsy,NOUN
",",PUNCT
sometimes,ADV
associated,VERB
with,ADP
a,DET
loss,NOUN
of,ADP
visual,ADJ
acuity,NOUN
and,CCONJ
pigmentary,ADJ
retinal,ADJ
deposits,NOUN
.,PUNCT
Auditory,ADJ
toxicity,NOUN
was,VERB
characterized,VERB
by,ADP
a,DET
mid-,NOUN
to,ADP
high,ADJ
-,PUNCT
frequency,NOUN
neurosensorial,ADJ
hearing,NOUN
loss,NOUN
and,CCONJ
the,DET
lesion,NOUN
was,VERB
of,ADP
the,DET
cochlear,ADJ
type,NOUN
.,PUNCT
Desferrioxamine,NOUN
withdrawal,NOUN
resulted,VERB
in,ADP
a,DET
complete,ADJ
recovery,NOUN
of,ADP
visual,ADJ
function,NOUN
in,ADP
1,NUM
patient,NOUN
and,CCONJ
partial,ADJ
recovery,NOUN
in,ADP
3,NUM
",",PUNCT
and,CCONJ
a,DET
complete,ADJ
reversal,NOUN
of,ADP
hearing,VERB
loss,NOUN
in,ADP
3,NUM
patients,NOUN
and,CCONJ
partial,ADJ
recovery,NOUN
in,ADP
3,NUM
.,PUNCT
This,DET
toxicity,NOUN
appeared,VERB
in,ADP
patients,NOUN
receiving,VERB
the,DET
higher,ADJ
doses,NOUN
of,ADP
desferrioxamine,NOUN
or,CCONJ
coincided,VERB
with,ADP
the,DET
normalization,NOUN
of,ADP
ferritin,NOUN
or,CCONJ
aluminium,NOUN
serum,NOUN
levels,NOUN
.,PUNCT
The,DET
data,NOUN
indicate,VERB
that,ADP
audiovisual,ADJ
toxicity,NOUN
is,VERB
not,ADV
an,DET
infrequent,ADJ
complication,NOUN
in,ADP
hemodialyzed,VERB
patients,NOUN
receiving,VERB
desferrioxamine,NOUN
.,PUNCT
Myasthenia,PROPN
gravis,NOUN
presenting,VERB
as,ADP
weakness,NOUN
after,ADP
magnesium,NOUN
administration,NOUN
.,PUNCT
We,PRON
studied,VERB
a,DET
patient,NOUN
with,ADP
no,DET
prior,ADJ
history,NOUN
of,ADP
neuromuscular,ADJ
disease,NOUN
who,NOUN
became,VERB
virtually,ADV
quadriplegic,ADJ
after,ADP
parenteral,ADJ
magnesium,NOUN
administration,NOUN
for,ADP
preeclampsia,NOUN
.,PUNCT
The,DET
serum,NOUN
magnesium,NOUN
concentration,NOUN
was,VERB
3.0,NUM
mEq,PROPN
/,SYM
L,PROPN
",",PUNCT
which,ADJ
is,VERB
usually,ADV
well,ADV
tolerated,VERB
.,PUNCT
The,DET
magnesium,NOUN
was,VERB
stopped,VERB
and,CCONJ
she,PRON
recovered,VERB
over,ADP
a,DET
few,ADJ
days,NOUN
.,PUNCT
While,ADP
she,PRON
was,VERB
weak,ADJ
",",PUNCT
2-Hz,NUM
repetitive,ADJ
stimulation,NOUN
revealed,VERB
a,DET
decrement,NOUN
without,ADP
significant,ADJ
facilitation,NOUN
at,ADP
rapid,ADJ
rates,NOUN
or,CCONJ
after,ADP
exercise,NOUN
",",PUNCT
suggesting,VERB
postsynaptic,ADJ
neuromuscular,ADJ
blockade,NOUN
.,PUNCT
Her,ADJ
acetylcholine,NOUN
receptor,NOUN
antibody,NOUN
level,NOUN
was,VERB
markedly,ADV
elevated,VERB
.,PUNCT
Although,ADP
paralysis,NOUN
after,ADP
magnesium,NOUN
administration,NOUN
has,VERB
been,VERB
described,VERB
in,ADP
patients,NOUN
with,ADP
known,VERB
myasthenia,NOUN
gravis,NOUN
",",PUNCT
it,PRON
has,VERB
not,ADV
previously,ADV
been,VERB
reported,VERB
to,PART
be,VERB
the,DET
initial,ADJ
or,CCONJ
only,ADJ
manifestation,NOUN
of,ADP
the,DET
disease,NOUN
.,PUNCT
Patients,NOUN
who,NOUN
are,VERB
unusually,ADV
sensitive,ADJ
to,ADP
the,DET
neuromuscular,ADJ
effects,NOUN
of,ADP
magnesium,NOUN
should,VERB
be,VERB
suspected,VERB
of,ADP
having,VERB
an,DET
underlying,ADJ
disorder,NOUN
of,ADP
neuromuscular,ADJ
transmission,NOUN
.,PUNCT
Chloroacetaldehyde,PROPN
and,CCONJ
its,ADJ
contribution,NOUN
to,ADP
urotoxicity,NOUN
during,ADP
treatment,NOUN
with,ADP
cyclophosphamide,NOUN
or,CCONJ
ifosfamide,NOUN
.,PUNCT
Based,VERB
on,ADP
clinical,ADJ
data,NOUN
",",PUNCT
indicating,VERB
that,ADP
chloroacetaldehyde,NOUN
(,PUNCT
CAA,PROPN
),PUNCT
is,VERB
an,DET
important,ADJ
metabolite,NOUN
of,ADP
oxazaphosphorine,NOUN
cytostatics,NOUN
",",PUNCT
an,DET
experimental,ADJ
study,NOUN
was,VERB
carried,VERB
out,PART
in,ADP
order,NOUN
to,PART
elucidate,VERB
the,DET
role,NOUN
of,ADP
CAA,PROPN
in,ADP
the,DET
development,NOUN
of,ADP
hemorrhagic,ADJ
cystitis,NOUN
.,PUNCT
The,DET
data,NOUN
demonstrate,VERB
that,ADP
CAA,PROPN
after,ADP
i.v,PROPN
.,PUNCT
administration,NOUN
does,VERB
not,ADV
contribute,VERB
to,ADP
bladder,NOUN
damage,NOUN
.,PUNCT
When,ADV
instilled,VERB
directly,ADV
into,ADP
the,DET
bladder,NOUN
",",PUNCT
CAA,PROPN
exerts,VERB
urotoxic,ADJ
effects,NOUN
",",PUNCT
it,PRON
is,VERB
",",PUNCT
however,ADV
",",PUNCT
susceptible,ADJ
to,ADP
detoxification,NOUN
with,ADP
mesna,NOUN
.,PUNCT
Source,NOUN
of,ADP
pain,NOUN
and,CCONJ
primitive,ADJ
dysfunction,NOUN
in,ADP
migraine,NOUN
:,PUNCT
an,DET
identical,ADJ
site,NOUN
?,PUNCT
Twenty,NUM
common,ADJ
migraine,ADJ
patients,NOUN
received,VERB
a,DET
one,NUM
sided,VERB
frontotemporal,ADJ
application,NOUN
of,ADP
nitroglycerin,NOUN
(,PUNCT
10,NUM
patients,NOUN
),PUNCT
or,CCONJ
placebo,NOUN
ointment,NOUN
(,PUNCT
10,NUM
patients,NOUN
),PUNCT
in,ADP
a,DET
double,ADJ
blind,ADJ
study,NOUN
.,PUNCT
Early,ADJ
onset,NOUN
migraine,ADJ
attacks,NOUN
were,VERB
induced,VERB
by,ADP
nitroglycerin,NOUN
in,ADP
seven,NUM
out,ADP
of,ADP
10,NUM
patients,NOUN
versus,ADP
no,DET
patient,NOUN
in,ADP
the,DET
placebo,NOUN
group,NOUN
.,PUNCT
Subsequently,ADV
20,NUM
migraine,ADJ
patients,NOUN
",",PUNCT
who,NOUN
developed,VERB
an,DET
early,ADJ
onset,NOUN
attack,NOUN
with,ADP
frontotemporal,ADJ
nitroglycerin,NOUN
",",PUNCT
received,VERB
the,DET
drug,NOUN
in,ADP
a,DET
second,ADJ
induction,NOUN
test,NOUN
at,ADP
other,ADJ
body,NOUN
areas,NOUN
.,PUNCT
No,DET
early,ADJ
onset,NOUN
migraine,NOUN
was,VERB
observed,VERB
.,PUNCT
Thus,ADV
the,DET
migraine,ADJ
-,PUNCT
inducing,VERB
effect,NOUN
of,ADP
nitroglycerin,NOUN
seems,VERB
to,PART
depend,VERB
on,ADP
direct,ADJ
stimulation,NOUN
of,ADP
the,DET
habitual,ADJ
site,NOUN
of,ADP
pain,NOUN
",",PUNCT
suggesting,VERB
that,ADP
the,DET
frontotemporal,ADJ
region,NOUN
is,VERB
of,ADP
crucial,ADJ
importance,NOUN
in,ADP
the,DET
development,NOUN
of,ADP
a,DET
migraine,ADJ
crisis,NOUN
.,PUNCT
This,DET
is,VERB
not,ADV
consistent,ADJ
with,ADP
a,DET
CNS,PROPN
origin,NOUN
of,ADP
migraine,ADJ
attack,NOUN
.,PUNCT
Clotiazepam,PROPN
-,PUNCT
induced,VERB
acute,ADJ
hepatitis,NOUN
.,PUNCT
We,PRON
report,VERB
the,DET
case,NOUN
of,ADP
a,DET
patient,NOUN
who,NOUN
developed,VERB
acute,ADJ
hepatitis,NOUN
with,ADP
extensive,ADJ
hepatocellular,ADJ
necrosis,NOUN
",",PUNCT
7,NUM
months,NOUN
after,ADP
the,DET
onset,NOUN
of,ADP
administration,NOUN
of,ADP
clotiazepam,NOUN
",",PUNCT
a,DET
thienodiazepine,NOUN
derivative,ADJ
.,PUNCT
Clotiazepam,PROPN
withdrawal,NOUN
was,VERB
followed,VERB
by,ADP
prompt,ADJ
recovery,NOUN
.,PUNCT
The,DET
administration,NOUN
of,ADP
several,ADJ
benzodiazepines,NOUN
",",PUNCT
chemically,ADV
related,VERB
to,ADP
clotiazepam,NOUN
",",PUNCT
did,VERB
not,ADV
interfere,VERB
with,ADP
recovery,NOUN
and,CCONJ
did,VERB
not,ADV
induce,VERB
any,DET
relapse,NOUN
of,ADP
hepatitis,NOUN
.,PUNCT
This,DET
observation,NOUN
shows,VERB
that,ADP
clotiazepam,NOUN
can,VERB
induce,VERB
acute,ADJ
hepatitis,NOUN
and,CCONJ
suggests,VERB
that,ADP
there,ADV
is,VERB
no,DET
cross,NOUN
hepatotoxicity,NOUN
between,ADP
clotiazepam,NOUN
and,CCONJ
several,ADJ
benzodiazepines,NOUN
.,PUNCT
Arterial,ADJ
hypertension,NOUN
as,ADP
a,DET
complication,NOUN
of,ADP
prolonged,ADJ
ketoconazole,NOUN
treatment,NOUN
.,PUNCT
Two,NUM
of,ADP
14,NUM
patients,NOUN
with,ADP
Cushing,PROPN
's,PART
syndrome,NOUN
treated,VERB
on,ADP
a,DET
long,ADJ
-,PUNCT
term,NOUN
basis,NOUN
with,ADP
ketoconazole,NOUN
developed,VERB
sustained,ADJ
hypertension,NOUN
.,PUNCT
In,ADP
both,DET
cases,NOUN
normal,ADJ
plasma,NOUN
and,CCONJ
urinary,ADJ
