word,label
in,O
six,O
areas,O
of,O
the,O
body,O
were,O
scored,O
from,O
0,O
to,O
3,O
and,O
summated,O
as,O
a,O
total,O
fasciculation,I-Entity
score,O
.,O
The,O
times,O
to,O
first,O
fasciculation,I-Entity
",",O
twitch,I-Entity
suppression,O
and,O
tetanus,I-Entity
suppression,O
were,O
inversely,O
related,O
to,O
the,O
infusion,O
rates,O
.,O
Fasciculations,I-Entity
in,O
the,O
six,O
areas,O
and,O
the,O
total,O
fasciculation,I-Entity
score,O
were,O
related,O
directly,O
to,O
the,O
rate,O
of,O
infusion,O
.,O
Total,O
fasciculation,I-Entity
scores,O
in,O
the,O
30-mg,O
bolus,O
group,O
and,O
the,O
5-mg,O
s-1,O
and,O
20-mg,O
s-1,O
infusion,O
groups,O
were,O
not,O
significantly,O
different,O
.,O
Galanthamine,B-Entity
hydrobromide,I-Entity
",",O
a,O
longer,O
acting,O
anticholinesterase,O
drug,O
",",O
in,O
the,O
treatment,O
of,O
the,O
central,O
effects,O
of,O
scopolamine,I-Entity
(,O
Hyoscine,I-Entity
),O
.,O
Galanthamine,B-Entity
hydrobromide,I-Entity
",",O
an,O
anticholinesterase,O
drug,O
capable,O
of,O
penetrating,O
the,O
blood,O
-,O
brain,O
barrier,O
",",O
was,O
used,O
in,O
a,O
patient,O
demonstrating,O
central,O
effects,O
of,O
scopolamine,I-Entity
(,O
hyoscine,I-Entity
),O
overdosage,I-Entity
.,O
It,O
is,O
longer,O
acting,O
than,O
physostigmine,I-Entity
and,O
is,O
used,O
in,O
anaesthesia,O
to,O
reverse,O
the,O
non,O
-,O
depolarizing,O
neuromuscular,O
block,O
.,O
However,O
",",O
studies,O
into,O
the,O
dose,O
necessary,O
to,O
combating,O
scopolamine,I-Entity
intoxication,O
are,O
indicated,O
.,O
Effects,O
of,O
uninephrectomy,O
and,O
high,O
protein,O
feeding,O
on,O
lithium,I-Entity
-,O
induced,O
chronic,B-Entity
renal,I-Entity
failure,I-Entity
in,O
rats,O
.,O
Rats,O
with,O
lithium,I-Entity
-,O
induced,O
nephropathy,I-Entity
were,O
subjected,O
to,O
high,O
protein,O
(,O
HP,O
),O
feeding,O
",",O
uninephrectomy,O
(,O
NX,O
),O
or,O
a,O
combination,O
of,O
these,O
",",O
in,O
an,O
attempt,O
to,O
induce,O
glomerular,O
hyperfiltration,O
and,O
further,O
progression,O
of,O
renal,B-Entity
failure,I-Entity
.,O
Newborn,O
female,O
Wistar,O
rats,O
were,O
fed,O
a,O
lithium,I-Entity
-,O
containing,O
diet,O
(,O
50,O
mmol,O
/,O
kg,O
),O
for,O
8,O
weeks,O
and,O
then,O
randomized,O
to,O
normal,O
diet,O
",",O
HP,O
diet,O
(,O
40,O
vs.,O
19%,O
),O
",",O
NX,O
or,O
HP+NX,O
for,O
another,O
8,O
weeks,O
.,O
Corresponding,O
non,O
-,O
lithium,I-Entity
pretreated,O
groups,O
were,O
generated,O
.,O
When,O
comparing,O
all,O
lithium,I-Entity
treated,O
versus,O
non,O
-,O
lithium,I-Entity
-,O
treated,O
groups,O
",",O
lithium,I-Entity
caused,O
a,O
reduction,O
in,O
glomerular,O
filtration,O
rate,O
(,O
GFR,O
),O
without,O
significant,O
changes,O
in,O
effective,O
renal,O
plasma,O
flow,O
(,O
as,O
determined,O
by,O
a,O
marker,O
secreted,O
into,O
the,O
proximal,O
tubules,O
),O
or,O
lithium,I-Entity
clearance,O
.,O
Consequently,O
",",O
lithium,I-Entity
pretreatment,O
caused,O
a,O
fall,O
in,O
filtration,O
fraction,O
and,O
an,O
increase,O
in,O
fractional,O
Li,I-Entity
excretion,O
.,O
Lithium,I-Entity
also,O
caused,O
proteinuria,I-Entity
and,O
systolic,O
hypertension,I-Entity
in,O
absence,O
of,O
glomerulosclerosis,I-Entity
.,O
HP,O
failed,O
to,O
accentuante,O
progression,O
of,O
renal,B-Entity
failure,I-Entity
and,O
in,O
fact,O
tended,O
to,O
increase,O
GFR,O
and,O
decrease,O
plasma,O
creatinine,I-Entity
levels,O
in,O
lithium,I-Entity
pretreated,O
rats,O
.,O
NX+HP,O
caused,O
a,O
further,O
rise,O
in,O
blood,O
pressure,O
in,O
Li,I-Entity
-,O
pretreated,O
rats,O
.,O
The,O
results,O
indicate,O
that,O
Li,I-Entity
-,O
induced,O
nephropathy,I-Entity
",",O
even,O
when,O
the,O
GFR,O
is,O
only,O
modestly,O
reduced,O
",",O
is,O
associated,O
with,O
proteinuria,I-Entity
and,O
arterial,O
systolic,O
hypertension,I-Entity
.,O
In,O
this,O
model,O
of,O
chronic,B-Entity
renal,I-Entity
failure,I-Entity
the,O
decline,O
in,O
GFR,O
is,O
not,O
accompanied,O
by,O
a,O
corresponding,O
fall,O
in,O
effective,O
renal,O
plasma,O
flow,O
",",O
which,O
may,O
be,O
the,O
functional,O
expression,O
of,O
the,O
formation,O
of,O
nonfiltrating,O
atubular,O
glomeruli,O
.,O
Treatment,O
of,O
Crohn,B-Entity
's,I-Entity
disease,I-Entity
with,O
fusidic,B-Entity
acid,I-Entity
:,O
an,O
antibiotic,O
with,O
immunosuppressive,O
properties,O
similar,O
to,O
cyclosporin,I-Entity
.,O
Fusidic,O
acid,O
is,O
an,O
antibiotic,O
with,O
T,O
-,O
cell,O
specific,O
immunosuppressive,O
effects,O
similar,O
to,O
those,O
of,O
cyclosporin,I-Entity
.,O
Because,O
of,O
the,O
need,O
for,O
the,O
development,O
of,O
new,O
treatments,O
for,O
Crohn,B-Entity
's,I-Entity
disease,I-Entity
",",O
a,O
pilot,O
study,O
was,O
undertaken,O
to,O
estimate,O
the,O
pharmacodynamics,O
and,O
tolerability,O
of,O
fusidic,B-Entity
acid,I-Entity
treatment,O
in,O
chronic,O
active,O
",",O
therapy,O
-,O
resistant,O
patients,O
.,O
Eight,O
Crohn,B-Entity
's,I-Entity
disease,I-Entity
patients,O
were,O
included,O
.,O
Fusidic,B-Entity
acid,I-Entity
was,O
administered,O
orally,O
in,O
a,O
dose,O
of,O
500,O
mg,O
t.d.s,O
.,O
Five,O
of,O
8,O
patients,O
(,O
63%,O
),O
improved,O
during,O
fusidic,B-Entity
acid,I-Entity
treatment,O
:,O
3,O
at,O
two,O
weeks,O
and,O
2,O
after,O
four,O
weeks,O
.,O
There,O
were,O
no,O
serious,O
clinical,O
side,O
effects,O
",",O
but,O
dose,O
reduction,O
was,O
required,O
in,O
two,O
patients,O
because,O
of,O
nausea,I-Entity
.,O
The,O
results,O
of,O
this,O
pilot,O
study,O
suggest,O
that,O
fusidic,B-Entity
acid,I-Entity
may,O
be,O
of,O
benefit,O
in,O
selected,O
chronic,O
active,O
Crohn,B-Entity
's,I-Entity
disease,I-Entity
patients,O
in,O
whom,O
conventional,O
treatment,O
is,O
ineffective,O
.,O
Because,O
there,O
seems,O
to,O
exist,O
a,O
scientific,O
rationale,O
for,O
the,O
use,O
of,O
fusidic,B-Entity
acid,I-Entity
at,O
the,O
cytokine,O
level,O
in,O
inflammatory,B-Entity
bowel,I-Entity
disease,I-Entity
",",O
we,O
suggest,O
that,O
the,O
role,O
of,O
this,O
treatment,O
should,O
be,O
further,O
investigated,O
.,O
Electrocardiographic,O
evidence,O
of,O
myocardial,B-Entity
injury,I-Entity
in,O
psychiatrically,O
hospitalized,O
cocaine,I-Entity
abusers,O
.,O
The,O
electrocardiograms,O
(,O
ECG,O
),O
of,O
99,O
cocaine,I-Entity
-,O
abusing,O
patients,O
were,O
compared,O
with,O
the,O
ECGs,O
of,O
50,O
schizophrenic,I-Entity
controls,O
.,O
Eleven,O
of,O
the,O
cocaine,I-Entity
abusers,O
and,O
none,O
of,O
the,O
controls,O
had,O
ECG,O
evidence,O
of,O
significant,O
myocardial,B-Entity
injury,I-Entity
defined,O
as,O
myocardial,B-Entity
infarction,I-Entity
",",O
ischemia,I-Entity
",",O
and,O
bundle,B-Entity
branch,I-Entity
block,I-Entity
.,O
Sulpiride,I-Entity
-,O
induced,O
tardive,B-Entity
dystonia,I-Entity
.,O
Sulpiride,I-Entity
is,O
a,O
selective,O
D2-receptor,O
antagonist,O
with,O
antipsychotic,O
and,O
antidepressant,I-Entity
properties,O
.,O
Although,O
initially,O
thought,O
to,O
be,O
free,O
of,O
extrapyramidal,O
side,O
effects,O
",",O
sulpiride,I-Entity
-,O
induced,O
tardive,B-Entity
dyskinesia,I-Entity
and,O
parkinsonism,I-Entity
have,O
been,O
reported,O
occasionally,O
.,O
We,O
studied,O
a,O
37-year,O
-,O
old,O
man,O
who,O
developed,O
persistent,O
segmental,O
dystonia,I-Entity
within,O
2,O
months,O
after,O
starting,O
sulpiride,I-Entity
therapy,O
.,O
We,O
could,O
not,O
find,O
any,O
previous,O
reports,O
of,O
sulpiride,I-Entity
-,O
induced,O
tardive,B-Entity
dystonia,I-Entity
.,O
Ocular,B-Entity
and,I-Entity
auditory,I-Entity
toxicity,I-Entity
in,O
hemodialyzed,O
patients,O
receiving,O
desferrioxamine,I-Entity
.,O
During,O
an,O
18-month,O
period,O
of,O
study,O
41,O
hemodialyzed,O
patients,O
receiving,O
desferrioxamine,I-Entity
(,O
10,O
-,O
40,O
mg,O
/,O
kg,O
BW/3,O
times,O
weekly,O
),O
for,O
the,O
first,O
time,O
were,O
monitored,O
for,O
detection,O
of,O
audiovisual,B-Entity
toxicity,I-Entity
.,O
6,O
patients,O
presented,O
clinical,O
symptoms,O
of,O
visual,B-Entity
or,I-Entity
auditory,I-Entity
toxicity,I-Entity
.,O
Visual,B-Entity
toxicity,I-Entity
was,O
of,O
retinal,O
origin,O
and,O
was,O
characterized,O
by,O
a,O
tritan,O
-,O
type,O
dyschromatopsy,I-Entity
",",O
sometimes,O
associated,O
with,O
a,B-Entity
loss,I-Entity
of,I-Entity
visual,I-Entity
acuity,I-Entity
and,O
pigmentary,B-Entity
retinal,I-Entity
deposits,I-Entity
.,O
Auditory,B-Entity
toxicity,I-Entity
was,O
characterized,O
by,O
a,O
mid-,O
to,O
high,O
-,O
frequency,O
neurosensorial,B-Entity
hearing,I-Entity
loss,I-Entity
and,O
the,O
lesion,O
was,O
of,O
the,O
cochlear,O
type,O
.,O
Desferrioxamine,I-Entity
withdrawal,O
resulted,O
in,O
a,O
complete,O
recovery,O
of,O
visual,O
function,O
in,O
1,O
patient,O
and,O
partial,O
recovery,O
in,O
3,O
",",O
and,O
a,O
complete,O
reversal,O
of,O
hearing,B-Entity
loss,I-Entity
in,O
3,O
patients,O
and,O
partial,O
recovery,O
in,O
3,O
.,O
This,O
toxicity,I-Entity
appeared,O
in,O
patients,O
receiving,O
the,O
higher,O
doses,O
of,O
desferrioxamine,I-Entity
or,O
coincided,O
with,O
the,O
normalization,O
of,O
ferritin,O
or,O
aluminium,I-Entity
serum,O
levels,O
.,O
The,O
data,O
indicate,O
that,O
audiovisual,B-Entity
toxicity,I-Entity
is,O
not,O
an,O
infrequent,O
complication,O
in,O
hemodialyzed,O
patients,O
receiving,O
desferrioxamine,I-Entity
.,O
Myasthenia,B-Entity
gravis,I-Entity
presenting,O
as,O
weakness,O
after,O
magnesium,I-Entity
administration,O
.,O
We,O
studied,O
a,O
patient,O
with,O
no,O
prior,O
history,O
of,O
neuromuscular,B-Entity
disease,I-Entity
who,O
became,O
virtually,O
quadriplegic,I-Entity
after,O
parenteral,O
magnesium,I-Entity
administration,O
for,O
preeclampsia,I-Entity
.,O
The,O
serum,O
magnesium,I-Entity
concentration,O
was,O
3.0,O
mEq,O
/,O
L,O
",",O
which,O
is,O
usually,O
well,O
tolerated,O
.,O
The,O
magnesium,I-Entity
was,O
stopped,O
and,O
she,O
recovered,O
over,O
a,O
few,O
days,O
.,O
While,O
she,O
was,O
weak,O
",",O
2-Hz,O
repetitive,O
stimulation,O
revealed,O
a,O
decrement,O
without,O
significant,O
facilitation,O
at,O
rapid,O
rates,O
or,O
after,O
exercise,O
",",O
suggesting,O
postsynaptic,B-Entity
neuromuscular,I-Entity
blockade,I-Entity
.,O
Her,O
acetylcholine,I-Entity
receptor,O
antibody,O
level,O
was,O
markedly,O
elevated,O
.,O
Although,O
paralysis,I-Entity
after,O
magnesium,I-Entity
administration,O
has,O
been,O
described,O
in,O
patients,O
with,O
known,O
myasthenia,B-Entity
gravis,I-Entity
",",O
it,O
has,O
not,O
previously,O
been,O
reported,O
to,O
be,O
the,O
initial,O
or,O
only,O
manifestation,O
of,O
the,O
disease,O
.,O
Patients,O
who,O
are,O
unusually,O
sensitive,O
to,O
the,O
neuromuscular,O
effects,O
of,O
magnesium,I-Entity
should,O
be,O
suspected,O
of,O
having,O
an,O
underlying,O
disorder,B-Entity
of,I-Entity
neuromuscular,I-Entity
transmission,I-Entity
.,O
Chloroacetaldehyde,I-Entity
and,O
its,O
contribution,O
to,O
urotoxicity,O
during,O
treatment,O
with,O
cyclophosphamide,I-Entity
or,O
ifosfamide,I-Entity
.,O
Based,O
on,O
clinical,O
data,O
",",O
indicating,O
that,O
chloroacetaldehyde,I-Entity
(,O
CAA,I-Entity
),O
is,O
an,O
important,O
metabolite,O
of,O
oxazaphosphorine,O
cytostatics,O
",",O
an,O
experimental,O
study,O
was,O
carried,O
out,O
in,O
order,O
to,O
elucidate,O
the,O
role,O
of,O
CAA,I-Entity
in,O
the,O
development,O
of,O
hemorrhagic,B-Entity
cystitis,I-Entity
.,O
The,O
data,O
demonstrate,O
that,O
CAA,I-Entity
after,O
i.v,O
.,O
administration,O
does,O
not,O
contribute,O
to,O
bladder,B-Entity
damage,I-Entity
.,O
When,O
instilled,O
directly,O
into,O
the,O
bladder,O
",",O
CAA,I-Entity
exerts,O
urotoxic,O
effects,O
",",O
it,O
is,O
",",O
however,O
",",O
susceptible,O
to,O
detoxification,O
with,O
mesna,I-Entity
.,O
Source,O
of,O
pain,I-Entity
and,O
primitive,O
dysfunction,O
in,O
migraine,I-Entity
:,O
an,O
identical,O
site,O
?,O
Twenty,O
common,O
migraine,I-Entity
patients,O
received,O
a,O
one,O
sided,O
frontotemporal,O
application,O
of,O
nitroglycerin,I-Entity
(,O
10,O
patients,O
),O
or,O
placebo,O
ointment,O
(,O
10,O
patients,O
),O
in,O
a,O
double,O
blind,O
study,O
.,O
Early,O
onset,O
migraine,I-Entity
attacks,O
were,O
induced,O
by,O
nitroglycerin,I-Entity
in,O
seven,O
out,O
of,O
10,O
patients,O
versus,O
no,O
patient,O
in,O
the,O
placebo,O
group,O
.,O
Subsequently,O
20,O
migraine,I-Entity
patients,O
",",O
who,O
developed,O
an,O
early,O
onset,O
attack,O
with,O
frontotemporal,O
nitroglycerin,I-Entity
",",O
received,O
the,O
drug,O
in,O
a,O
second,O
induction,O
test,O
at,O
other,O
body,O
areas,O
.,O
No,O
early,O
onset,O
migraine,I-Entity
was,O
observed,O
.,O
Thus,O
the,O
migraine,I-Entity
-,O
inducing,O
effect,O
of,O
nitroglycerin,I-Entity
seems,O
to,O
depend,O
on,O
direct,O
stimulation,O
of,O
the,O
habitual,O
site,O
of,O
pain,I-Entity
",",O
suggesting,O
that,O
the,O
frontotemporal,O
region,O
is,O
of,O
crucial,O
importance,O
in,O
the,O
development,O
of,O
a,O
migraine,I-Entity
crisis,O
.,O
This,O
is,O
not,O
consistent,O
with,O
a,O
CNS,O
origin,O
of,O
migraine,I-Entity
attack,O
.,O
Clotiazepam,I-Entity
-,O
induced,O
acute,O
hepatitis,I-Entity
.,O
We,O
report,O
the,O
case,O
of,O
a,O
patient,O
who,O
developed,O
acute,O
hepatitis,I-Entity
with,O
extensive,B-Entity
hepatocellular,I-Entity
necrosis,I-Entity
",",O
7,O
months,O
after,O
the,O
onset,O
of,O
administration,O
of,O
clotiazepam,I-Entity
",",O
a,O
thienodiazepine,I-Entity
derivative,O
.,O
Clotiazepam,I-Entity
withdrawal,O
was,O
followed,O
by,O
prompt,O
recovery,O
.,O
The,O
administration,O
of,O
several,O
benzodiazepines,I-Entity
",",O
chemically,O
related,O
to,O
clotiazepam,I-Entity
",",O
did,O
not,O
interfere,O
with,O
recovery,O
and,O
did,O
not,O
induce,O
any,O
relapse,O
of,O
hepatitis,I-Entity
.,O
This,O
observation,O
shows,O
that,O
clotiazepam,I-Entity
can,O
induce,O
acute,O
hepatitis,I-Entity
and,O
suggests,O
that,O
there,O
is,O
no,O
cross,O
hepatotoxicity,I-Entity
between,O
clotiazepam,I-Entity
and,O
several,O
benzodiazepines,I-Entity
.,O
Arterial,O
hypertension,I-Entity
as,O
a,O
complication,O
of,O
prolonged,O
ketoconazole,I-Entity
treatment,O
.,O
Two,O
of,O
14,O
patients,O
with,O
Cushing,B-Entity
's,I-Entity
syndrome,I-Entity
treated,O
on,O
a,O
long,O
-,O
term,O
basis,O
with,O
ketoconazole,I-Entity
developed,O
sustained,O
hypertension,I-Entity
.,O
In,O
both,O
cases,O
normal,O
plasma,O
and,O
urinary,O
free,O
cortisol,I-Entity
levels,O
had,O
been,O
achieved,O
following,O
ketoconazole,I-Entity
therapy,O
",",O
yet,O
continuous,O
blood,O
pressure,O
monitoring,O
demonstrated,O
hypertension,I-Entity
31,O
(,O
patient,O
1,O
),O
and,O
52,O
weeks,O
(,O
patient,O
2,O
),O
after,O
treatment,O
.,O
In,O
patient,O
1,O
",",O
plasma,O
levels,O
of,O
deoxycorticosterone,I-Entity
and,O
11-deoxycortisol,I-Entity
were,O
elevated,O
.,O
In,O
patient,O
2,O
",",O
in,O
addition,O
to,O
an,O
increase,O
in,O
both,O
deoxycorticosterone,I-Entity
and,O
11-deoxycortisol,I-Entity
levels,O
",",O
plasma,O
aldosterone,I-Entity
values,O
were,O
raised,O
",",O
with,O
a,O
concomitant,O
suppression,O
of,O
renin,O
levels,O
.,O
Our,O
findings,O
show,O
that,O
long,O
-,O
term,O
treatment,O
with,O
high,O
doses,O
of,O
ketoconazole,I-Entity
may,O
induce,O
enzyme,O
blockade,O
leading,O
to,O
mineralocorticoid,O
-,O
related,O
hypertension,I-Entity
.,O
Effects,O
of,O
an,O
inhibitor,O
of,O
angiotensin,I-Entity
converting,O
enzyme,O
(,O
Captopril,I-Entity
),O
on,O
pulmonary,B-Entity
and,I-Entity
renal,I-Entity
insufficiency,I-Entity
due,O
to,O
intravascular,B-Entity
coagulation,I-Entity
in,O
the,O
rat,O
.,O
Induction,O
of,O
intravascular,B-Entity
coagulation,I-Entity
and,O
inhibition,O
of,O
fibrinolysis,O
by,O
injection,O
of,O
thrombin,O
and,O
tranexamic,B-Entity
acid,I-Entity
(,O
AMCA,I-Entity
),O
in,O
the,O
rat,O
gives,O
rise,O
to,O
pulmonary,B-Entity
and,I-Entity
renal,I-Entity
insufficiency,I-Entity
resembling,O
that,O
occurring,O
after,O
trauma,I-Entity
or,O
sepsis,I-Entity
in,O
man,O
.,O
Injection,O
of,O
Captopril,I-Entity
(,O
1,O
mg,O
/,O
kg,O
),O
",",O
an,O
inhibitor,O
of,O
angiotensin,I-Entity
converting,O
enzyme,O
(,O
ACE,O
),O
",",O
reduced,O
both,O
pulmonary,B-Entity
and,I-Entity
renal,I-Entity
insufficiency,I-Entity
in,O
this,O
rat,O
model,O
.,O
The,O
contents,O
of,O
albumin,O
in,O
the,O
lungs,O
were,O
not,O
changed,O
",",O
indicating,O
that,O
Captopril,I-Entity
did,O
not,O
influence,O
the,O
extravasation,O
of,O
protein,O
.,O
Renal,B-Entity
damage,I-Entity
as,O
reflected,O
by,O
an,O
increase,O
in,O
serum,O
urea,I-Entity
and,O
in,O
kidney,O
weight,O
was,O
prevented,O
by,O
Captopril,I-Entity
.,O
The,O
amount,O
of,O
fibrin,O
in,O
the,O
kidneys,O
was,O
also,O
considerably,O
lower,O
than,O
in,O
animals,O
which,O
received,O
thrombin,O
and,O
AMCA,I-Entity
alone,O
.,O
It,O
is,O
suggested,O
that,O
the,O
effects,O
of,O
Captopril,I-Entity
on,O
the,O
lungs,O
may,O
be,O
attributable,O
to,O
a,O
vasodilatory,O
effect,O
due,O
to,O
a,O
reduction,O
in,O
the,O
circulating,O
level,O
of,O
Angiotension,B-Entity
II,I-Entity
and,O
an,O
increase,O
in,O
prostacyclin,I-Entity
(,O
secondary,O
to,O
an,O
increase,O
in,O
bradykinin,I-Entity
),O
.,O
Captopril,I-Entity
may,O
",",O
by,O
the,O
same,O
mechanism,O
",",O
reduce,O
the,O
increase,O
in,O
glomerular,O
filtration,O
that,O
is,O
known,O
to,O
occur,O
after,O
an,O
injection,O
of,O
thrombin,O
",",O
thereby,O
diminishing,O
the,O
aggregation,O
of,O
fibrin,O
monomers,O
in,O
the,O
glomeruli,O
",",O
with,O
the,O
result,O
that,O
less,O
fibrin,O
will,O
be,O
deposited,O
and,O
thus,O
less,O
kidney,B-Entity
damage,I-Entity
will,O
be,O
produced,O
.,O
A,O
randomized,O
comparison,O
of,O
labetalol,I-Entity
and,O
nitroprusside,I-Entity
for,O
induced,O
hypotension,I-Entity
.,O
In,O
a,O
randomized,O
study,O
",",O
labetalol,I-Entity
-,O
induced,O
hypotension,I-Entity
and,O
nitroprusside,I-Entity
-,O
induced,O
hypotension,I-Entity
were,O
compared,O
in,O
20,O
patients,O
(,O
10,O
in,O
each,O
group,O
),O
scheduled,O
for,O
major,O
orthopedic,O
procedures,O
.,O
Each,O
patient,O
was,O
subjected,O
to,O
an,O
identical,O
anesthetic,O
protocol,O
and,O
similar,O
drug,O
-,O
induced,O
reductions,B-Entity
in,I-Entity
mean,I-Entity
arterial,I-Entity
blood,I-Entity
pressure,I-Entity
(,O
BP,O
),O
(,O
50,O
to,O
55,O
mmHg,O
),O
.,O
Nitroprusside,O
infusion,O
was,O
associated,O
with,O
a,O
significant,O
(,O
p,O
less,O
than,O
0.05,O
),O
increase,B-Entity
in,I-Entity
heart,I-Entity
rate,I-Entity
and,I-Entity
cardiac,I-Entity
output,I-Entity
;,O
rebound,O
hypertension,I-Entity
was,O
observed,O
in,O
three,O
patients,O
after,O
discontinuation,O
of,O
nitroprusside,I-Entity
.,O
Labetalol,I-Entity
administration,O
was,O
not,O
associated,O
with,O
any,O
of,O
these,O
findings,O
.,O
Arterial,O
PO2,I-Entity
decreased,O
in,O
both,O
groups,O
.,O
It,O
was,O
concluded,O
that,O
labetalol,I-Entity
offers,O
advantages,O
over,O
nitroprusside,I-Entity
.,O
Chronic,O
carbamazepine,I-Entity
treatment,O
in,O
the,O
rat,O
:,O
efficacy,O
",",O
toxicity,I-Entity
",",O
and,O
effect,O
on,O
plasma,O
and,O
tissue,O
folate,I-Entity
concentrations,O
.,O
Folate,I-Entity
depletion,O
has,O
often,O
been,O
a,O
problem,O
in,O
chronic,O
antiepileptic,O
drug,O
(,O
AED,O
),O
therapy,O
.,O
Carbamazepine,I-Entity
(,O
CBZ,I-Entity
),O
",",O
a,O
commonly,O
used,O
AED,O
",",O
has,O
been,O
implicated,O
in,O
some,O
clinical,O
studies,O
.,O
A,O
rat,O
model,O
was,O
developed,O
to,O
examine,O
the,O
effects,O
of,O
chronic,O
CBZ,I-Entity
treatment,O
on,O
folate,I-Entity
concentrations,O
in,O
the,O
rat,O
.,O
In,O
the,O
course,O
of,O
developing,O
this,O
model,O
",",O
a,O
common,O
vehicle,O
",",O
propylene,B-Entity
glycol,I-Entity
",",O
by,O
itself,O
in,O
high,O
doses,O
",",O
was,O
found,O
to,O
exhibit,O
protective,O
properties,O
against,O
induced,O
seizures,I-Entity
and,O
inhibited,O
weight,B-Entity
gain,I-Entity
.,O
Seizures,I-Entity
induced,O
by,O
hexafluorodiethyl,B-Entity
ether,I-Entity
(,O
HFDE,I-Entity
),O
were,O
also,O
found,O
to,O
be,O
a,O
more,O
sensitive,O
measure,O
of,O
protection,O
by,O
CBZ,I-Entity
than,O
seizures,I-Entity
induced,O
by,O
maximal,O
electroshock,O
(,O
MES,O
),O
.,O
Oral,O
administration,O
of,O
CBZ,I-Entity
as,O
an,O
aqueous,O
suspension,O
every,O
8,O
h,O
at,O
a,O
dose,O
of,O
250,O
mg,O
/,O
kg,O
was,O
continuously,O
protective,O
against,O
HFDE,I-Entity
-,O
induced,O
seizures,I-Entity
and,O
was,O
minimally,O
toxic,O
as,O
measured,O
by,O
weight,B-Entity
gain,I-Entity
over,O
8,O
weeks,O
of,O
treatment,O
.,O
The,O
CBZ,I-Entity
